,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2
0,-2711.21797,-2711.21784,-2711.218,-2711.218,-2711.21799,-2711.21784,-2711.218,-2711.21793,-2711.21784,-2711.21799,-2711.21794,-2711.218,-2711.21799,-2711.2179,-2711.21796,-2711.21784,-2711.21799,-2711.21794,-2711.21794,-2711.21791,-2711.21784,-2711.218,-2711.21794,-2711.218,-2711.218
0.2,-2711.218,-2711.21785,-2710.67336,-2711.218,-2711.28441,-2714.92034,-2715.08628,-2711.43507,-2717.36196,-2717.36946,-2715.15776,-2712.09327,-2713.85094,-2714.72656,-2724.23875,-2715.31904,-2715.15861,-2709.59962,-2715.11766,-2715.22587,-2712.89418,-2727.11839,-2730.93773,-2711.122,-2711.33255
0.2,-2717.76483,-2711.1704,-2711.218,-2711.218,-2714.62701,-2710.67336,-2712.16611,-2709.74352,-2715.17848,-2714.87115,-2714.96837,-2718.77427,-2714.80846,-2715.17841,-2714.80194,-2711.52685,-2713.77754,-2710.67336,-2710.19021,-2714.95272,-2714.78958,-2714.80181,-2719.17255,-2715.1464,-2713.08328
0.4,-2711.98171,-2724.06272,-2714.82804,-2711.218,-2711.21791,-2710.74542,-2711.95806,-2724.79315,-2723.50515,-2721.067,-2712.5221,-2722.80947,-2717.49791,-2723.2464,-2724.59959,-2722.81152,-2724.21638,-2724.86155,-2727.54768,-2725.59262,-2722.53522,-2725.91987,-2715.10101,-2722.87782,-2713.03501
0.6,-2722.96008,-2722.07798,-2712.56457,-2709.78368,-2714.79227,-2713.86032,-2711.21781,-2713.76623,-2715.15436,-2721.83455,-2723.90433,-2723.60331,-2713.02757,-2723.46092,-2724.26817,-2726.0769,-2718.13658,-2714.42237,-2723.81826,-2724.93188,-2724.45098,-2723.8012,-2724.24465,-2728.78271,-2724.05249
0.8,-2723.37713,-2722.11138,-2713.38369,-2723.86377,-2712.91604,-2712.40057,-2724.75144,-2713.23757,-2711.21799,-2710.25013,-2725.16442,-2712.5744,-2714.08487,-2723.9884,-2714.89761,-2722.59935,-2726.15814,-2722.18681,-2728.37775,-2723.9739,-2724.9307,-2726.01927,-2724.33966,-2724.47358,-2724.8967
1,-2724.82206,-2723.98082,-2724.36687,-2724.7961,-2722.61156,-2712.96366,-2720.33103,-2724.81748,-2723.879,-2721.79303,-2720.02261,-2724.82881,-2723.01593,-2723.06111,-2724.30713,-2724.32944,-2723.30319,-2726.17133,-2724.51167,-2724.50751,-2724.12207,-2724.15973,-2724.02158,-2724.02669,-2724.73671
1.2,-2724.11254,-2723.81407,-2724.3058,-2723.91706,-2722.16371,-2724.50342,-2724.98175,-2723.35492,-2725.31618,-2722.89059,-2722.23459,-2721.81449,-2720.31492,-2720.60782,-2721.92004,-2723.56549,-2723.89863,-2723.41165,-2724.73836,-2722.58372,-2723.24432,-2721.82184,-2722.71562,-2724.19406,-2724.25961
1.4,-2724.21666,-2724.18795,-2724.09577,-2723.8704,-2724.16677,-2723.26937,-2724.06514,-2721.99171,-2724.53868,-2722.43814,-2723.67613,-2721.18205,-2723.40459,-2723.03612,-2720.52436,-2723.25128,-2725.48336,-2724.20597,-2724.12885,-2730.39461,-2721.48355,-2724.13062,-2723.75455,-2723.69569,-2724.15934
1.6,-2724.07574,-2724.35574,-2724.38104,-2725.69192,-2723.3965,-2724.2522,-2724.17398,-2724.073,-2723.21207,-2724.67355,-2724.28081,-2722.86424,-2722.6506,-2723.76495,-2723.45784,-2722.0937,-2719.44179,-2723.89935,-2723.16483,-2723.51174,-2723.67084,-2724.96948,-2723.91531,-2723.97897,-2721.6318
1.8,-2724.51989,-2724.00318,-2724.19875,-2724.2546,-2724.28407,-2724.292,-2724.26266,-2724.21193,-2724.15603,-2724.05148,-2723.93359,-2723.9659,-2723.89986,-2724.35459,-2723.5932,-2724.50033,-2723.66774,-2724.65938,-2719.5599,-2723.81017,-2723.23604,-2725.32467,-2724.07458,-2721.63251,-2724.26948
2,-2724.18147,-2724.06267,-2724.09508,-2724.04928,-2724.07127,-2724.12503,-2724.15387,-2724.15789,-2723.60635,-2724.3333,-2723.21081,-2723.9346,-2724.25235,-2724.02594,-2723.97445,-2724.53745,-2723.1461,-2724.06336,-2723.31666,-2721.92116,-2720.99957,-2719.66988,-2722.62313,-2722.06094,-2724.5713
2.2,-2724.02316,-2724.32304,-2722.80364,-2725.00116,-2724.11863,-2723.72795,-2724.08681,-2723.9698,-2723.99457,-2723.51788,-2723.95737,-2724.03087,-2724.10997,-2724.84553,-2723.03923,-2724.24916,-2724.83833,-2724.07868,-2730.18891,-2723.04435,-2723.33943,-2723.9046,-2721.11325,-2723.49038,-2723.68249
2.4,-2723.19988,-2724.21741,-2724.85764,-2724.13686,-2721.08556,-2721.78078,-2723.95261,-2724.10881,-2724.8996,-2724.01079,-2723.74665,-2723.78537,-2723.70742,-2724.05576,-2724.08839,-2723.95605,-2722.88035,-2724.01806,-2719.33944,-2722.2845,-2724.22775,-2723.26838,-2724.3969,-2723.6788,-2721.21009
2.6,-2723.99886,-2723.32245,-2723.14767,-2724.89675,-2722.30426,-2725.10282,-2723.91505,-2724.17949,-2719.85743,-2725.0137,-2724.05676,-2723.89116,-2724.64359,-2723.91764,-2723.90187,-2723.86605,-2725.00278,-2724.12204,-2721.77915,-2724.19043,-2724.76843,-2724.24066,-2722.33627,-2723.0808,-2722.80727
2.6,-2721.21885,-2721.28976,-2725.31446,-2723.87501,-2723.06812,-2724.23623,-2730.32262,-2724.49185,-2721.55211,-2721.76557,-2725.41991,-2723.92211,-2724.00438,-2723.94869,-2724.08273,-2723.61682,-2728.33773,-2724.01917,-2723.95917,-2724.0705,-2721.75837,-2725.35896,-2730.86234,-2724.97833,-2724.23906
2.8,-2724.22253,-2723.1862,-2724.03424,-2721.34971,-2724.16532,-2723.74876,-2724.16264,-2724.90174,-2724.57477,-2724.09761,-2724.27483,-2721.72427,-2719.76384,-2724.05097,-2724.98771,-2724.19824,-2728.60649,-2724.23158,-2728.58694,-2724.14845,-2724.09366,-2723.98451,-2721.71511,-2720.32028,-2724.52486
3,-2724.56747,-2724.60908,-2724.58569,-2723.68579,-2723.21564,-2721.38759,-2723.93796,-2722.98707,-2723.57961,-2724.31543,-2724.59378,-2722.66103,-2722.57679,-2724.05762,-2724.49169,-2724.17398,-2724.24315,-2724.31269,-2724.34216,-2723.68678,-2725.40957,-2724.27899,-2724.01598,-2724.49205,-2719.77133
3.2,-2724.89136,-2724.06378,-2722.70127,-2725.65645,-2723.22907,-2723.31681,-2723.2511,-2721.40161,-2723.9293,-2722.83035,-2723.56506,-2722.97061,-2722.93994,-2722.88018,-2722.79237,-2723.74004,-2723.95008,-2724.25912,-2724.32217,-2724.38585,-2724.21478,-2723.67011,-2724.86115,-2724.34744,-2724.26592
