,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4
0,-1686.80937,-1686.81909,-1689.01277,-1689.36382,-1689.66614,-1689.91956,-1690.12404,-1690.27947,-1690.38583,-1690.44326,-1690.45154,-1690.41073,-1690.3209,-1690.18204,-1689.99415,-1689.75726,-1687.94437,-1689.1368,-1686.82901,-1686.81037,-1686.81331,-1687.05773,-1689.25065,-1688.29302,-1689.83943,-1690.06046,-1690.23245,-1690.35537,-1690.42935,-1690.45424,-1690.43002,-1690.35671,-1690.23445,-1690.06312,-1689.84276,-1688.30111,-1689.25531,-1687.35988
0.1732,-1686.81909,-1688.12701,-1690.63559,-1688.33521,-1690.7722,-1690.99316,-1691.16692,-1691.29342,-1691.81188,-1691.84344,-1691.8278,-1691.32546,-1691.21497,-1691.05713,-1690.85212,-1689.59601,-1690.74659,-1688.76422,-1686.82443,-1686.81669,-1686.83387,-1690.51932,-1687.9197,-1691.1303,-1690.92378,-1691.1135,-1691.25598,-1691.35113,-1691.83802,-1691.83835,-1691.3521,-1691.25759,-1691.11575,-1690.92668,-1690.6904,-1687.94965,-1690.5241,-1686.83442
0.34641,-1689.01277,-1690.63559,-1688.29434,-1690.37282,-1691.50183,-1691.69739,-1691.84613,-1691.94799,-1692.00293,-1692.01086,-1691.9718,-1691.88579,-1691.75289,-1691.57314,-1691.34665,-1688.59743,-1690.75402,-1690.2371,-1687.57051,-1690.26651,-1687.84749,-1687.75319,-1688.79029,-1691.42516,-1691.63656,-1691.80113,-1691.91883,-1691.98962,-1692.01341,-1691.99026,-1691.92009,-1691.80304,-1691.63912,-1691.42835,-1691.171,-1687.78381,-1687.84946,-1690.12082
0.51962,-1689.36382,-1688.33521,-1690.37282,-1691.52424,-1691.74242,-1691.91396,-1692.03882,-1692.11692,-1692.14818,-1692.13274,-1692.07043,-1691.96138,-1691.80558,-1691.60316,-1691.35418,-1688.02232,-1687.61965,-1687.96136,-1690.64049,-1689.30514,-1688.06527,-1690.42203,-1691.43998,-1691.67392,-1691.8612,-1692.00186,-1692.09577,-1692.14286,-1692.14318,-1692.09672,-1692.00345,-1691.86343,-1691.67678,-1691.44346,-1690.42015,-1688.07701,-1687.3318,-1690.6404
0.69282,-1689.66614,-1690.7722,-1691.50183,-1691.74242,-1691.93658,-1692.08425,-1692.18536,-1692.23986,-1692.24772,-1692.209,-1692.12363,-1691.99168,-1691.81322,-1691.58831,-1690.72502,-1689.70959,-1688.36208,-1688.29861,-1688.31134,-1688.36954,-1689.74478,-1690.67505,-1691.66633,-1691.87619,-1692.03957,-1692.15641,-1692.22666,-1692.25028,-1692.22729,-1692.15768,-1692.04147,-1691.87872,-1691.66949,-1690.67286,-1689.74612,-1688.36898,-1688.31213,-1688.29827
0.86603,-1689.91956,-1690.99316,-1691.69739,-1691.91396,-1692.08425,-1692.20813,-1692.28569,-1692.31682,-1692.3014,-1692.23954,-1692.1313,-1691.97669,-1691.77573,-1690.9382,-1691.23555,-1689.83041,-1690.51279,-1691.26455,-1690.64231,-1691.1612,-1691.04307,-1691.61382,-1691.84596,-1692.03192,-1692.17146,-1692.26469,-1692.3115,-1692.31181,-1692.26563,-1692.17304,-1692.03412,-1691.8488,-1691.61728,-1691.04116,-1691.15989,-1690.64764,-1690.23368,-1690.50726
1.03923,-1690.12404,-1691.16692,-1691.84613,-1692.03882,-1692.18536,-1692.28569,-1692.33988,-1692.34771,-1692.30917,-1692.22442,-1692.09349,-1691.91637,-1691.10421,-1691.27524,-1691.40196,-1691.48415,-1691.52166,-1691.51439,-1690.87148,-1691.36572,-1691.22462,-1691.77064,-1691.97888,-1692.14103,-1692.25695,-1692.32675,-1692.35025,-1692.32738,-1692.25821,-1692.14292,-1691.9814,-1691.77377,-1691.22239,-1691.22103,-1690.87648,-1691.51399,-1691.52187,-1691.48496
1.21244,-1690.27947,-1691.29342,-1691.94799,-1692.11692,-1692.23986,-1692.31682,-1692.34771,-1692.33242,-1692.27099,-1692.16362,-1692.01021,-1691.8109,-1690.30419,-1691.27531,-1691.67205,-1691.73222,-1691.74745,-1691.71762,-1691.05341,-1691.37449,-1691.35897,-1691.88052,-1692.06498,-1692.20345,-1692.29594,-1692.34244,-1692.34276,-1692.29688,-1692.20503,-1692.06717,-1691.88333,-1691.35643,-1691.37854,-1691.05808,-1691.7169,-1691.74735,-1691.73273,-1691.67317
1.38564,-1690.38583,-1691.81188,-1692.00293,-1692.14818,-1692.24772,-1692.3014,-1692.30917,-1692.27099,-1692.18694,-1692.05715,-1691.88152,-1690.41091,-1691.39367,-1691.81301,-1691.89608,-1691.934,-1691.92666,-1691.87409,-1691.77638,-1690.38098,-1691.44604,-1691.94348,-1692.10423,-1692.21921,-1692.28839,-1692.31169,-1692.28902,-1692.22046,-1692.1061,-1691.94596,-1691.44318,-1690.37671,-1691.77474,-1691.87306,-1691.92625,-1691.93421,-1691.89691,-1691.81444
